id,biolovision_english,biolovision_latin,ebird_species_code
13090,Spectacled Owl,Pulsatrix perspicillata,speowl1
13093,Grand-duc d'Amérique,Bubo virginianus,grhowl
13097,Chouette mouchetée,Strix virgata,motowl
13099,Chouette huhul,Strix huhula,bkbowl1
13106,Chevêchette d'Amazonie,Glaucidium hardyi,amapyo1
13109,Chevêchette brune,Glaucidium brasilianum,fepowl
13113,Chevêche des terriers,Athene cunicularia,burowl
13115,Hibou strié,Asio clamator,strowl1
13116,Hibou maître-bois,Asio stygius,styowl1
13118,Crested Myna,Acridotheres cristatellus,cremyn
13129,Batara fascié,Cymbilaimus lineatus,fasant1
13135,Batara à gorge noire,Frederickena viridis,bltant3
13138,Grand Batara,Taraba major,greant1
13139,Batara huppé,Sakesphorus canadensis,blcant4
13143,Batara rayé,Thamnophilus doliatus,barant1
13153,Batara souris,Thamnophilus murinus,mocant1
13157,Batara demi-deuil,Thamnophilus nigrocinereus,blgant2
13158,Batara tacheté,Thamnophilus punctatus,norsla1
13168,Batara de Cayenne,Thamnophilus melanothorax,batant2
13169,Batara d'Amazonie,Thamnophilus amazonicus,amaant2
13184,Batara ardoisé,Thamnomanes ardesiacus,dutant2
13186,Batara cendré,Thamnomanes caesius,cinant1
13189,Batara étoilé,Pygiptila stellaris,spwant2
13191,Myrmidon à ventre brun,Epinecrophylla gutturalis,brbant2
13193,Myrmidon cravaté,Epinecrophylla haematonota,rubsti1
13198,Myrmidon pygmée,Myrmotherula brachyura,pygant1
13202,Myrmidon du Suriname,Myrmotherula surinamensis,guista1
13209,Myrmidon moucheté,Isleria guttata,rubant3
13211,Myrmidon à flancs blancs,Myrmotherula axillaris,whfant2
13215,Myrmidon longipenne,Myrmotherula longipennis,lowant1
13222,Myrmidon de Behn,Myrmotherula behni,plwant2
13223,Myrmidon gris,Myrmotherula menetriesii,gryant1
13232,Grisin givré,Herpsilochmus sticturus,sptant1
13234,Grisin de Todd,Herpsilochmus stictocephalus,todant1
13242,Grisin étoilé,Microrhopias quixensis,dowant1
13245,Grisin de Cayenne,Formicivora grisea,whfant3
13260,Alapi carillonneur,Hypocnemis cantator,guiwaa1
13269,Grisin à croupion roux,Euchrepomis callinota,rurant1
13272,Grisin spodioptile,Euchrepomis spodioptila,aswant1
13273,Grisin ardoisé,Cercomacra cinerascens,gryant2
13275,Grisin sombre,Cercomacroides tyrannina,dusant1
13278,Grisin noirâtre,Cercomacroides nigrescens,blaant4
13289,Alapi à sourcils blancs,Myrmoborus leucophrys,whbant6
13293,Alapi à menton noir,Hypocnemoides melanopogon,blcant3
13297,Alapi paludicole,Sclateria naevia,silant1
13298,Alapi à tête noire,Percnostola rufifrons,blhant3
13302,Alapi ponctué,Myrmelastes leucostigma,spwant3
13308,Alapi à ventre blanc,Myrmeciza longipes,whbant1
13310,Alapi à cravate noire,Myrmoderus ferrugineus,febant1
13321,Alapi de Buffon,Myrmophylax atrothorax,bltant2
13326,Immaculate Antbird,Myrmeciza immaculata,
13329,Palicour de Cayenne,Myrmornis torquata,wibant1
13330,Fourmilier manikup,Pithys albifrons,whpant1
13333,Fourmilier à gorge rousse,Gymnopithys rufigula,rutant4
13342,Fourmilier tacheté,Hylophylax naevius,spbant6
13343,Fourmilier perlé,Hylophylax punctulatus,dobant2
13344,Fourmilier zébré,Willisornis poecilinotus,scbant3
13345,Black-spotted Bare-eye,Phlegopsis nigromaculata,bsbeye1
13357,Paroare rougecap,Paroaria gularis,reccar4
13360,Tangara à camail,Schistochlamys melanopis,blftan1
13364,Tangara à miroir blanc,Conothraupis speculigera,bawtan1
13366,Lamprospize à bec rouge,Lamprospiza melanoleuca,rbptan1
13369,Tangara coiffe-noire,Nemosia pileata,hootan1
13397,Tangara à tête grise,Eucometis penicillata,grhtan1
13398,Tangara à huppe ignée,Loriotus cristatus,flctan1
13400,Tangara à crête fauve,Tachyphonus surinamus,fuctan1
13401,Tangara à épaulettes blanches,Loriotus luctuosus,whstan1
13404,Tangara à galons blancs,Tachyphonus rufus,whltan1
13405,Tangara à galons rouges,Tachyphonus phoenicius,restan1
13406,Tangara mordoré,Lanio fulvus,fustan1
13411,Silver-beaked Tanager,Ramphocelus carbo,sibtan2
13414,Blue-gray Tanager,Thraupis episcopus,bugtan
13419,Palm Tanager,Thraupis palmarum,paltan1
13423,Tangara cyanictère,Cyanicterus cyanicterus,blbtan2
13461,Burnished-buff Tanager,Stilpnia cayana,bubtan2
13466,Calliste tacheté,Ixothraupis varia,dottan1
13468,Calliste tiqueté,Ixothraupis guttata,spetan1
13470,Calliste syacou,Ixothraupis punctata,spotan1
13476,Calliste diable-enrhumé,Tangara mexicana,turtan1
13477,Calliste septicolore,Tangara chilensis,partan1
13478,Calliste varié,Tangara velia,oprtan1
13486,Calliste rouverdin,Tangara gyrola,bahtan1
13496,Tersine hirondelle,Tersina viridis,swatan1
13498,Dacnis à coiffe bleue,Dacnis lineata,blfdac1
13503,Dacnis bleu,Dacnis cayana,bludac1
13508,Guit-guit céruléen,Cyanerpes caeruleus,purhon1
13509,Guit-guit saï,Cyanerpes cyaneus,relhon1
13510,Tangara émeraude,Chlorophanes spiza,grehon1
13513,Tangara guira,Hemithraupis guira,guitan1
13515,Tangara à dos jaune,Hemithraupis flavicollis,yebtan1
13518,Conirostre cul-roux,Conirostrum speciosum,chvcon1
13520,Conirostre bicolore,Conirostrum bicolor,biccon1
13551,Sucrier à ventre jaune,Coereba flaveola,banana
13570,Saltator ardoisé,Saltator grossus,slcgro1
13572,Saltator des grands-bois,Saltator maximus,butsal1
13586,American White Ibis,Eudocimus albus,whiibi
13592,Ibis vert,Mesembrinibis cayennensis,greibi1
13593,Ibis à face nue,Phimosus infuscatus,bafibi1
13595,Ibis mandore,Theristicus caudatus,bunibi1
13602,Tinamou indéterminé,Tinamus / Crypturellus sp.,
13606,Grand Tinamou,Tinamus major,gretin1
13608,Tinamou cendré,Crypturellus cinereus,cintin1
13610,Tinamou soui,Crypturellus soui,littin1
13613,Tinamou vermiculé,Crypturellus undulatus,undtin1
13617,Tinamou à pieds rouges,Crypturellus erythropus,reltin1
13621,Tinamou varié,Crypturellus variegatus,vartin1
13622,Tinamou rubigineux,Crypturellus brevirostris,rustin1
13645,Tityre à tête noire,Tityra inquisitor,blctit1
13646,Tityre gris,Tityra cayana,blttit1
13647,Tityre masqué,Tityra semifasciata,mastit1
13649,Antriade olivâtre,Schiffornis olivacea,thlsch7
13652,Aulia cendré,Laniocera hypopyrra,cinmou1
13654,Cotingule brun,Iodopleura fusca,duspur1
13658,Bécarde verte,Pachyramphus viridis,grbbec1
13661,Bécarde cendrée,Pachyramphus rufus,cinbec2
13664,Bécarde à ailes blanches,Pachyramphus polychopterus,whwbec1
13666,Bécarde à calotte noire,Pachyramphus marginatus,blcbec1
13667,Bécarde du Suriname,Pachyramphus surinamus,glbbec1
13669,Bécarde de Lesson,Pachyramphus minor,pitbec1
13671,Colibri topaze,Topaza pella,critop1
13673,Colibri jacobin,Florisuga mellivora,whnjac1
13680,Ermite hirsute,Glaucis hirsutus,rubher
13682,Ermite à queue blanche,Threnetes leucurus,patbar1
13683,Ermite d'Antonia,Threnetes niger,soobar1
13687,Ermite nain,Phaethornis longuemareus,lither2
13694,Ermite roussâtre,Phaethornis ruber,redher1
13697,Ermite d'Auguste,Phaethornis augusti,socher1
13707,Ermite de Bourcier,Phaethornis bourcieri,stbher1
13709,Ermite à brins blancs,Phaethornis superciliosus,lother1
13710,Ermite à long bec,Phaethornis malaris,grbher1
13716,Colibri de Delphine,Colibri delphinae,brvear1
13723,Colibri oreillard,Heliothryx auritus,bkefai1
13724,Colibri guaïnumbi,Polytmus guainumbi,whtgol1
13726,Colibri tout-vert,Polytmus theresiae,grtgol1
13727,Fiery-tailed Awlbill,Avocettula recurvirostris,fitawl1
13728,Colibri rubis-topaze,Chrysolampis mosquitus,ruthum1
13729,Mango à cravate verte,Anthracothorax viridigula,grtman1
13731,Mango à cravate noire,Anthracothorax nigricollis,bltman1
13732,Mango (Anthracothorax) indéterminé,Anthracothorax sp.,mango1
13747,Coquette à raquettes,Discosura longicaudus,ratcoq2
13748,Coquette huppe-col,Lophornis ornatus,tufcoq1
13844,Colibri corinne,Heliomaster longirostris,lobsta1
13859,Colibri améthyste,Calliphlox amethystina,amewoo1
13863,Émeraude orvert,Chlorostilbon mellisugus,blteme1
13870,Blue-chinned Sapphire,Chlorestes notata,bucsap1
13874,Campyloptère à ventre gris,Campylopterus largipennis,gybsab1
13886,Dryade à queue fourchue,Thalurania furcata,fotwoo1
13901,Ariane vert-doré,Chrysuronia leucogaster,plbeme1
13903,Ariane à poitrine blanche,Chrysuronia brevirostris,whceme1
13905,Ariane de Linné,Chionomesa fimbriata,glteme1
13913,Ariane à queue cuivrée,Saucerottia viridigaster cupreicauda,
13923,Saphir à gorge rousse,Hylocharis sapphirina,rutsap1
13924,Colibri azuré,Chlorestes cyanus,whcsap1
13930,Troglodyte bambla,Microcerculus bambla,wibwre1
13933,House Wren,Troglodytes aedon,houwre
13952,Troglodyte coraya,Pheugopedius coraya,corwre1
13960,Troglodyte à face pâle,Cantorchilus leucotis,bubwre1
13968,Troglodyte à poitrine blanche,Henicorhina leucosticta,wbwwre1
13974,Musician Wren,Cyphorhinus arada,muswre2
13982,Trogon à queue noire,Trogon melanurus,blttro1
13984,Trogon à queue blanche,Trogon viridis,gnbtro1
13986,Trogon violacé,Trogon violaceus,viotro2
13990,Trogon aurore,Trogon rufus,bkttro6
13991,Trogon rosalba,Trogon collaris,coltro1
13998,Veery,Catharus fuscescens,veery
14001,Wood Thrush,Hylocichla mustelina,woothr
14009,Merle leucomèle,Turdus leucomelas,pabthr1
14010,Merle cacao,Turdus fumigatus,cocthr1
14015,Merle à lunettes,Turdus nudigenis,baerob1
14029,Merle à col blanc,Turdus albicollis,whnrob1
14038,Tyranneau nain,Phyllomyias griseiceps,sohtyr1
14044,Tyranneau roitelet,Tyrannulus elatus,yectyr1
14045,Élénie de Gaimard,Myiopagis gaimardii,forela1
14046,Élénie grise,Myiopagis caniceps,gryela3
14049,Élénie à couronne d'or,Myiopagis flavivertex,yecela1
14050,Élénie verdâtre,Myiopagis viridicata,greela
14051,Élénie à ventre jaune,Elaenia flavogaster,yebela1
14055,Élénie à cimier blanc,Elaenia albiceps,whcela1
14056,Élénie à bec court,Elaenia parvirostris,smbela1
14061,Élénie huppée,Elaenia cristata,plcela1
14062,Élénie menue,Elaenia chiriquensis,lesela1
14063,Élénie tête-de-feu,Elaenia ruficeps,rucela1
14068,Élénie genre Elaenia,Elaenia sp.,elaeni1
14070,Tyranneau minute,Ornithion inerme,whltyr1
14071,Tyranneau passegris,Camptostoma obsoletum,sobtyr1
14094,Tyranneau souris,Nesotriccus murinus,y01204
14095,Tyranneau flavéole,Capsiempis flaveola,yeltyr1
14096,Tyranneau barbu,Polystictus pectoralis,beatac1
14098,Doradite de Sclater,Pseudocolopteryx sclateri,credor1
14106,Corythopis à collier,Corythopis torquatus,rinant2
14119,Tyranneau vif,Zimmerius acer,guityr1
14132,Tyranneau verdâtre,Phylloscartes virescens,olgtyr1
14146,Pipromorphe roussâtre,Mionectes oleagineus,ocbfly1
14147,Pipromorphe de McConnell,Mionectes macconnelli,mccfly1
14149,Pipromorphe à tête brune,Leptopogon amaurocephalus,secfly1
14153,Moucherolle des palétuviers,Sublegatus arenarum,nosfly1
14154,Moucherolle de Todd,Sublegatus obscurior,amsfly1
14159,Tyranneau frangé,Inezia caudata,pattyr3
14166,Microtyran à queue courte,Myiornis ecaudatus,stptyr1
14170,Microtyran bifascié,Lophotriccus vitiosus,dbptyr1
14172,Microtyran casqué,Lophotriccus galeatus,heptyr1
14179,Todirostre de Joséphine,Hemitriccus josephinae,bbttyr1
14180,Todirostre zostérops,Hemitriccus zosterops,wettyr1
14202,Todirostre à front gris,Poecilotriccus fumifrons,smftof1
14204,Todirostre de Desmarest,Poecilotriccus sylvia,shtfly1
14208,Spotted Tody-Flycatcher,Todirostrum maculatum,sptfly1
14210,Todirostre familier,Todirostrum cinereum,cotfly1
14213,Todirostre peint,Todirostrum pictum,patfly1
14217,Tyranneau olivâtre,Rhynchocyclus olivaceus,olifla3
14221,Tyranneau jaune-olive,Tolmomyias sulphurescens,yeofly1
14223,Tyranneau à miroir,Tolmomyias assimilis,yemfly1
14224,Tyranneau poliocéphale,Tolmomyias poliocephalus,gycfly1
14225,Tyranneau à poitrine jaune,Tolmomyias flaviventris,yebfly3
14226,Platyrhynque à cimier orange,Platyrinchus saturatus,cicspa1
14227,Platyrhynque à moustaches,Platyrinchus mystaceus,whtspa1
14228,Platyrhynque à tête d'or,Platyrinchus coronatus,gocspa1
14230,Platyrhynque à cimier blanc,Platyrinchus platyrhynchos,whcspa1
14232,Moucherolle royale / Porte-éventail roi,Onychorhynchus coronatus,royfly1
14238,Moucherolle fasciée,Myiophobus fasciatus,brcfly1
14240,Barbichon de Cayenne,Myiobius barbatus,whifly1
14242,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,rutfly2
14243,Néopipo cannelle,Neopipo cinnamomea,cinmat1
14245,Moucherolle hirondelle,Hirundinea ferruginea,clifly1
14249,Moucherolle d'Euler,Lathrotriccus euleri,eulfly1
14252,Moucherolle fuligineuse,Cnemotriccus fuscatus,fusfly1
14253,Acadian Flycatcher,Empidonax virescens,acafly
14255,Moucherolle des saules / des aulnes,Empidonax traillii / alnorum,
14256,Alder Flycatcher,Empidonax alnorum,aldfly
14257,Moucherolle à côtés olive,Contopus cooperi,olsfly
14259,Pioui de l'Ouest,Contopus sordidulus,wewpew
14260,Pioui de l'Est,Contopus virens,eawpew
14261,Moucherolle cendrée,Contopus cinereus,tropew3
14262,Moucherolle à bavette blanche,Contopus albogularis,whtpew1
14281,Moucherolle riveraine,Ochthornis littoralis,drwtyr1
14318,Moucherolle pie,Fluvicola pica,piwtyr1
14321,Moucherolle à tête blanche,Arundinicola leucocephala,whmtyr1
14336,Moucherolle à longs brins,Colonia colonus,lottyr1
14339,Tyran pirate,Legatus leucophaius,pirfly1
14340,Tyran de Cayenne,Myiozetetes cayanensis,rumfly1
14341,Tyran sociable,Myiozetetes similis,socfly1
14343,Tyran à gorge rayée,Myiozetetes luteiventris,ducfly2
14345,Great Kiskadee,Pitangus sulphuratus,grekis
14346,Tyran licteur,Philohydor lictor,leskis1
14348,Tyran de Pelzeln,Conopias parvus,yetfly2
14354,Tyran audacieux,Myiodynastes maculatus,strfly1
14355,Tyran pitangua,Megarynchus pitangua,bobfly1
14356,Tyran des palmiers,Tyrannopsis sulphurea,sulfly1
14357,Tyran tacheté,Empidonomus varius,varfly
14358,Tyran oriflamme,Empidonomus aurantioatrocristatus,croslf1
14360,Tyran à gorge blanche,Tyrannus albogularis,whtkin1
14361,Tyran mélancolique,Tyrannus melancholicus,trokin
14362,Tyran des savanes,Tyrannus savana,fotfly
14363,Tyran tritri,Tyrannus tyrannus,easkin
14364,Tyran gris,Tyrannus dominicensis,grykin
14366,Tyran grisâtre,Rhytipterna simplex,gramou1
14367,Tyran à ventre pâle,Rhytipterna immunda,pabmou1
14368,Tyran mélodieux,Sirystes subcanescens,todsir1
14372,Tyran olivâtre,Myiarchus tuberculifer,ducfly
14373,Tyran de Swainson,Myiarchus swainsoni,swafly1
14376,Tyran féroce,Myiarchus ferox,shcfly1
14381,Tyran de Wied,Myiarchus tyrannulus,bncfly
14384,Tyran rougequeue,Ramphotrigon ruficauda,rutfla1
14387,Attila cannelle,Attila cinnamomeus,cinatt1
14392,Attila à croupion jaune,Attila spadiceus,brratt1
14394,Sourciroux mélodieux,Cyclarhis gujanensis,rubpep1
14397,Smaragdan oreillard,Vireolanius leucotis,scsvir1
14405,Viréo à moustaches,Vireo altiloquus,bkwvir
14408,Viréon à plastron,Hylophilus thoracicus,lecgre2
14409,Viréon à gorge grise,Hylophilus semicinereus,gycgre1
14410,Viréon à tête cendrée,Hylophilus pectoralis,ashgre1
14416,Viréon fardé,Pachysylvia muscicapina,bucgre1
14419,Viréon à calotte rousse,Tunchiornis ochraceiceps,tacgre1
15060,Blue-headed Hummingbird,Cyanophaia bicolor,blhhum1
15096,Lepidochelys olivacea,,
15148,House Finch,Haemorhous mexicanus,houfin
15149,Little x Reef Egret,Egretta garzetta x gularis,x00656
15185,Yellow-bellied Sapsucker,Sphyrapicus varius,yebsap
15190,Pine Warbler,Setophaga pinus,pinwar
15194,Dove sp.,Zenaida / Streptopelia sp.,
15198,Corvus monedula monedula,Corvus monedula monedula,
15200,Colibri indéterminé,Trochilidae sp.,hummin
15203,Pigeon / Dove sp.,Columbidae sp.,dove1
15204,Psittacidae sp.,Psittacidae sp.,psitta1
15210,American Yellow Warbler,Setophaga aestiva,
15213,Aythya sp.,Aythya sp.,aythya1
15215,Hybrid Mallard x Red-crested Pochard,Anas platyrhynchos X Netta rufina,x00648
15216,"Aythya hybrid, unidentified",Aythya sp x Aythya sp.,
15217,Cape Barren Goose,Cereopsis novaehollandiae,cabgoo1
15218,Lilac-breasted Roller,Coracias caudatus,librol2
15219,Hybrid Common House Martin x Barn Swallow,Delichon urbicum x Hirundo rustica,x00659
15221,Lagopus muta pyrenaica,Lagopus muta pyrenaica,
15222,Motacilla flava flava x cinereocapilla,Motacilla flava flava x cinereocapilla,
15223,Motacilla flava iberiae x cinereocapilla,Motacilla flava iberiae x cinereocapilla,
15224,Motacilla flava flava x flavissima,Motacilla flava flava x flavissima,weywag21
15225,House or Italian Sparrow,Passer domesticus / italiae,
15226,Perdix perdix hispaniensis,Perdix perdix hispaniensis,
15227,Grey / Southern Grey Shrike,Lanius excubitor / meridionalis,
15230,Brown Teal,Anas aucklandica,auitea1
15232,New Zealand Scaup,Aythya novaeseelandiae,nezsca1
15234,Blue-Bellied Roller,Coracias cyanogaster,blbrol1
15235,Cinereous Bunting,Emberiza cineracea,cinbun1
15238,Japanese Grosbeak,Eophona personata,japgro1
15240,Western Yellow Wagtail (M.f. flavissima / lutea),Motacilla flava flavissima / lutea,weywag13
15241,White-eared Bulbul,Pycnonotus leucotis,whebul1
15242,Vinous-throated Parrotbill,Paradoxornis webbianus,vitpar1
15243,Crested / Thekla Lark,Galerida cristata / theklae,y00980
15244,Unidentified Redpoll,Carduelis flammea / hornemanni / cabaret,redpol1
15245,Hybrid Common x Black Redstart,Phoenicurus phoenicurus x ochruros,x00745
15247,Long-eared / Short-eared Owl,Asio otus / flammeus,y00673
15248,Pallid / Montagu's Harrier,Circus macrourus / pygargus,y00720
15249,Grey Crowned Crane,Balearica regulorum,grccra1
15250,Red-crowned Crane,Grus japonensis,reccra1
15252,Nene,Branta sandvicensis,hawgoo
15253,Spur-winged Goose,Plectropterus gambensis,spwgoo1
15254,Hybrid Ring-necked x Tufted Duck,Aythya collaris x fuligula,x00652
15255,Dunlin (ssp. schinzii),Calidris alpina schinzii,dunlin4
15258,Northern Carmine Bee-eater,Merops nubicus,ncbeat1
15259,Brown-headed Cowbird,Molothrus ater,bnhcow
15260,Common / Iberian Chiffchaff,Phylloscopus collybita / ibericus,y00813
15267,Mediterranean x Black-headed Gull,Larus melanocephalus x Chroicocephalus ridibundus,x00695
15268,Hybrid Yellow-legged x Greater Black-backed Gull,Larus michahellis x marinus,x00397
15269,European / Leach's Storm Petrel,Hydrobates pelagicus / Oceanodroma leucorhoa,
15366,Coenagrionidae sp.,,
15367,Ischnura hastata,,
15386,Philippine Duck,Anas luzonica,phiduc1
15387,Hybrid Gadwall x Mallard,Anas strepera x platyrhynchos,
15402,Gravelot de Wilson,Anarhynchus wilsonia,wilplo
15403,Centronycteris maximiliani,,
15404,Cormura brevirostris,,
15405,Cyttarops alecto,,
15406,Diclidurus albus,,
15407,Diclidurus ingens,,
15408,Diclidurus scutatus,,
15409,Diclidurus isabellus,,
15410,Diclidurus sp.,,
15411,Peropteryx kappleri,,
15412,Peropteryx leucoptera,,
15413,Peropteryx macrotis,,
15414,Peropteryx trinitatis,,
15415,Peropteryx sp.,,
15416,Rhynchonycteris naso,,
15417,Saccopteryx bilineata,,
15418,Saccopteryx canescens,,
15419,Saccopteryx gymnura,,
15420,Saccopteryx canescens / gymnura,,
15421,Saccopteryx leptura,,
15422,Noctilio albiventris,,
15423,Noctilio leporinus,,
15425,Noctilio sp.,,
15427,Pteronotus gymnonotus,,
15428,Pteronotus alitonus,,
15429,Pteronotus rubiginosus,,
15430,Pteronotus personatus,,
15432,Desmodus rotundus,,
15433,Diaemus youngii,,
15434,Desmodus rotundus / Diaemus youngii,,
15435,Anoura caudifer,,
